// コマンド(種類) NONE:0 BLOCK:1
// 1列目
BLOCK,-5.0f,-10.0f,0.0f,
BLOCK,-15.0f,-10.0f,0.0f,
BLOCK,5.0f,-10.0f,0.0f,
BLOCK,15.0f,-10.0f,0.0f,
// 2列目
BLOCK,-5.0f,-10.0f,10.0f,
BLOCK,-15.0f,-10.0f,10.0f,
BLOCK,5.0f,-10.0f,10.0f,
BLOCK,15.0f,-10.0f,10.0f,
// 3列目
BLOCK,-5.0f,-10.0f,20.0f,
BLOCK,-15.0f,-10.0f,20.0f,
BLOCK,5.0f,-10.0f,20.0f,
BLOCK,15.0f,-10.0f,20.0f,
// 4列目
BLOCK,-5.0f,-10.0f,30.0f,
BLOCK,-15.0f,-10.0f,30.0f,
BLOCK,5.0f,-10.0f,30.0f,
BLOCK,15.0f,-10.0f,30.0f,
// 5列目
BLOCK,-5.0f,-10.0f,40.0f,
BLOCK,-15.0f,-10.0f,40.0f,
BLOCK,5.0f,-10.0f,40.0f,
BLOCK,15.0f,-10.0f,40.0f,
// 6列目
BLOCK,-5.0f,-10.0f,50.0f,
BLOCK,-15.0f,-10.0f,50.0f,
BLOCK,5.0f,-10.0f,50.0f,
BLOCK,15.0f,-10.0f,50.0f,
// 7列目
BLOCK,-5.0f,-10.0f,60.0f,
BLOCK,-15.0f,-10.0f,60.0f,
BLOCK,5.0f,-10.0f,60.0f,
BLOCK,15.0f,-10.0f,60.0f,
// 8列目
BLOCK,-5.0f,-10.0f,70.0f,
BLOCK,-15.0f,-10.0f,70.0f,
BLOCK,5.0f,-10.0f,70.0f,
BLOCK,15.0f,-10.0f,70.0f,
// 9列目
BLOCK,-5.0f,-10.0f,80.0f,
BLOCK,-15.0f,-10.0f,80.0f,
BLOCK,5.0f,-10.0f,80.0f,
BLOCK,15.0f,-10.0f,80.0f,
// 10列目
BLOCK,-5.0f,-10.0f,90.0f,
BLOCK,-15.0f,-10.0f,90.0f,
BLOCK,5.0f,-10.0f,90.0f,
BLOCK,15.0f,-10.0f,90.0f,
// 11列目
BLOCK,-5.0f,-10.0f,100.0f,
BLOCK,-15.0f,-10.0f,100.0f,
BLOCK,5.0f,-10.0f,100.0f,
BLOCK,15.0f,-10.0f,100.0f,
// 12列目
BLOCK,-5.0f,-10.0f,110.0f,
BLOCK,-15.0f,-10.0f,110.0f,
BLOCK,5.0f,-10.0f,110.0f,
BLOCK,15.0f,-10.0f,110.0f,

